Cluster,Ticker1,Ticker2,P_Value,Correlation
0,MS,AXP,0.00012040360839366586,0.6904095119875553
0,AXP,CSCO,0.0008285916838788335,0.4991547537037434
0,AMZN,WFC,0.0015862137950715652,0.3749280185785544
0,AMZN,MS,0.0021119618669389333,0.4634240733192895
0,V,DE,0.0032547124040649337,0.3127014954678086
0,V,PEP,0.0034339686469550797,0.1982512491260029
0,PG,CAT,0.0041667053953568746,-0.05120850360878431
0,JPM,CSCO,0.00435502599718234,0.4399177983220904
0,AMZN,BAC,0.00464919754131052,0.39528782519610933
0,WFC,CSCO,0.004983460089193492,0.4089574066526737
0,AMZN,CSCO,0.006578454266248516,0.4089565735001288
0,BAC,MS,0.007495208799899265,0.7516457414626528
0,AMZN,GS,0.007738577296900613,0.46669031606767764
0,AMZN,C,0.007914675126853617,0.4554297438157947
0,AMZN,JPM,0.0086257804313588,0.40968609046584986
0,META,DE,0.009550485346469401,0.1825833102500451
0,ABBV,RTX,0.010245669403803124,0.15991293599949138
0,GE,CSCO,0.011667186431723443,0.35334470400185863
0,MA,NFLX,0.01204594810518166,0.2999589874540686
0,META,CSCO,0.012495574587409233,0.29377277145757863
0,PEP,DE,0.01408426836407282,0.15217704910824836
0,PG,CMCSA,0.016233715301500383,0.23742147346697837
0,AMZN,AXP,0.01660885806142468,0.5107572965031045
0,MA,DE,0.01661018152884908,0.3449157165598823
0,META,NFLX,0.01685684289362401,0.35468631625602143
0,META,V,0.017118840642330102,0.29621312954773316
0,META,JPM,0.020835190613622843,0.30122864259048127
0,MA,PEP,0.021144200318859926,0.19129243317005176
0,AMZN,WMT,0.023286641646061385,0.23535215417823271
0,PEP,NFLX,0.0261398079031002,-0.0635745961292231
0,MA,MRK,0.027579953950931924,0.2427280264307843
0,WMT,CSCO,0.029515775013049625,0.2676027788849734
0,GS,AXP,0.030028173156379918,0.713737307012326
0,PFE,PEP,0.030942271644613054,0.3286304100582832
0,AXP,WMT,0.031178212060280732,0.30466555634021053
0,IBM,CSCO,0.033557853107011044,0.3594140320295528
0,PG,GE,0.03481320140343442,-0.013129601767675409
0,AMZN,DE,0.03528376788166837,0.2523848302513705
0,AMZN,HON,0.03683492379460582,0.33672960088830317
0,PG,DIS,0.03744745262407306,0.10749477655761132
0,PFE,LMT,0.03764336811382791,0.12241966453760798
0,BAC,CSCO,0.03924459614044158,0.4534735641940524
0,V,NFLX,0.039541765267719825,0.28592526685068204
0,PG,RTX,0.040440941899167145,0.1029081992014924
0,CMCSA,GE,0.04301200526582029,0.06642488720768783
0,MRK,NFLX,0.044849259385218665,-0.04756147968821951
0,AMZN,RTX,0.04754476945816411,0.1562087247887788
